2017-08-28 18:03:53 INFO  VerifyLoginwithInvalidCredentials:23 - ===Starting LoginwithInvalidCredentials Test===
2017-08-30 16:31:12 INFO  Homepage:90 - Clicked on submit button and the object is:[[ChromeDriver: chrome on WIN8 (75565788faade7ed73f05c3fe8c7273e)] -> xpath: //button[@id='SubmitLogin']/span/i]
2017-08-30 16:31:13 INFO  Homepage:96 - Error message isAuthentication failed.
2017-08-30 16:31:13 INFO  VerifyLoginwithInvalidCredentials:28 - ===Finished LoginwithInvalidCredentials Test===
2017-08-30 18:20:20 INFO  VerifyLoginwithInvalidCredentials:23 - ===Starting LoginwithInvalidCredentials Test===
2017-08-30 18:20:22 INFO  Homepage:76 - Clicked on Sign In and object is:[[ChromeDriver: chrome on WIN8 (55f1253b9816cb5ee97788c194928b84)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-08-30 18:20:22 INFO  Homepage:84 - Entered email address is:test@gmail.comand object is [[ChromeDriver: chrome on WIN8 (55f1253b9816cb5ee97788c194928b84)] -> xpath: //input[@id='email']]
2017-08-30 18:20:22 INFO  Homepage:87 - Entered password is:password123and object is [[ChromeDriver: chrome on WIN8 (55f1253b9816cb5ee97788c194928b84)] -> xpath: //input[@id='passwd']]
2017-08-30 18:20:23 INFO  Homepage:90 - Clicked on submit button and the object is:[[ChromeDriver: chrome on WIN8 (55f1253b9816cb5ee97788c194928b84)] -> xpath: //button[@id='SubmitLogin']/span/i]
2017-08-30 18:20:24 INFO  Homepage:96 - Error message isAuthentication failed.
2017-08-30 18:20:24 INFO  VerifyLoginwithInvalidCredentials:28 - ===Finished LoginwithInvalidCredentials Test===
2017-09-01 21:21:17 INFO  Homepage:81 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (3f259760b87089a247ad009a7218b21f)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-09-01 21:21:17 INFO  Homepage:89 - Entered email address is:tst12345@gmail.comand object is [[ChromeDriver: chrome on XP (3f259760b87089a247ad009a7218b21f)] -> xpath: //input[@id='email']]
2017-09-01 21:21:18 INFO  Homepage:92 - Entered password is:password1and object is [[ChromeDriver: chrome on XP (3f259760b87089a247ad009a7218b21f)] -> xpath: //input[@id='passwd']]
2017-09-01 21:21:18 INFO  Homepage:95 - Clicked on submit button and the object is:[[ChromeDriver: chrome on XP (3f259760b87089a247ad009a7218b21f)] -> xpath: //button[@id='SubmitLogin']/span/i]
2017-09-01 21:21:40 INFO  Homepage:81 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (3f259760b87089a247ad009a7218b21f)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-09-01 21:21:40 INFO  Homepage:89 - Entered email address is:tstt12345@gmail.comand object is [[ChromeDriver: chrome on XP (3f259760b87089a247ad009a7218b21f)] -> xpath: //input[@id='email']]
2017-09-01 21:21:40 INFO  Homepage:92 - Entered password is:password1and object is [[ChromeDriver: chrome on XP (3f259760b87089a247ad009a7218b21f)] -> xpath: //input[@id='passwd']]
2017-09-01 21:21:40 INFO  Homepage:95 - Clicked on submit button and the object is:[[ChromeDriver: chrome on XP (3f259760b87089a247ad009a7218b21f)] -> xpath: //button[@id='SubmitLogin']/span/i]
2017-09-02 15:46:45 INFO  Homepage:81 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (6eabd2159ffb8a68f6036cfcf97c3023)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-09-02 15:46:45 INFO  Homepage:89 - Entered email address is:tst12345@gmail.comand object is [[ChromeDriver: chrome on XP (6eabd2159ffb8a68f6036cfcf97c3023)] -> xpath: //input[@id='email']]
2017-09-02 15:46:45 INFO  Homepage:92 - Entered password is:password1and object is [[ChromeDriver: chrome on XP (6eabd2159ffb8a68f6036cfcf97c3023)] -> xpath: //input[@id='passwd']]
2017-09-02 15:46:45 INFO  Homepage:95 - Clicked on submit button and the object is:[[ChromeDriver: chrome on XP (6eabd2159ffb8a68f6036cfcf97c3023)] -> xpath: //button[@id='SubmitLogin']/span/i]
2017-09-02 15:58:59 INFO  Homepage:81 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (986e3d12f9324d1019e3a6196d77bcd7)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-09-02 15:58:59 INFO  Homepage:89 - Entered email address is:tst12345@gmail.comand object is [[ChromeDriver: chrome on XP (986e3d12f9324d1019e3a6196d77bcd7)] -> xpath: //input[@id='email']]
2017-09-02 15:58:59 INFO  Homepage:92 - Entered password is:password1and object is [[ChromeDriver: chrome on XP (986e3d12f9324d1019e3a6196d77bcd7)] -> xpath: //input[@id='passwd']]
2017-09-02 15:59:00 INFO  Homepage:95 - Clicked on submit button and the object is:[[ChromeDriver: chrome on XP (986e3d12f9324d1019e3a6196d77bcd7)] -> xpath: //button[@id='SubmitLogin']/span/i]
2017-09-02 15:59:44 INFO  Homepage:81 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (cefef85516cb9b32fa41f4b8de63e316)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-09-02 15:59:44 INFO  Homepage:89 - Entered email address is:tst12345@gmail.comand object is [[ChromeDriver: chrome on XP (cefef85516cb9b32fa41f4b8de63e316)] -> xpath: //input[@id='email']]
2017-09-02 15:59:44 INFO  Homepage:92 - Entered password is:password1and object is [[ChromeDriver: chrome on XP (cefef85516cb9b32fa41f4b8de63e316)] -> xpath: //input[@id='passwd']]
2017-09-02 15:59:44 INFO  Homepage:95 - Clicked on submit button and the object is:[[ChromeDriver: chrome on XP (cefef85516cb9b32fa41f4b8de63e316)] -> xpath: //button[@id='SubmitLogin']/span/i]
2017-09-02 15:59:50 INFO  Homepage:81 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (cefef85516cb9b32fa41f4b8de63e316)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-09-02 15:59:50 INFO  Homepage:89 - Entered email address is:tstt12345@gmail.comand object is [[ChromeDriver: chrome on XP (cefef85516cb9b32fa41f4b8de63e316)] -> xpath: //input[@id='email']]
2017-09-02 15:59:50 INFO  Homepage:92 - Entered password is:password1and object is [[ChromeDriver: chrome on XP (cefef85516cb9b32fa41f4b8de63e316)] -> xpath: //input[@id='passwd']]
2017-09-02 15:59:50 INFO  Homepage:95 - Clicked on submit button and the object is:[[ChromeDriver: chrome on XP (cefef85516cb9b32fa41f4b8de63e316)] -> xpath: //button[@id='SubmitLogin']/span/i]
